upc_code,genre,title,books_available,price_in_pounds
a897fe39b1053632,Poetry,A Light in the Attic,22,51.77
90fa61229261140a,Historical Fiction,Tipping the Velvet,20,53.74
6957f44c3847a760,Fiction,Soumission,20,50.1
e00eb4fd7b871a48,Mystery,Sharp Objects,20,47.82
4165285e1663650f,History,Sapiens: A Brief History of Humankind,20,54.230000000000004
f77dbf2323deb740,Young Adult,The Requiem Red,19,22.650000000000002
2597b5a345f45e1b,Business,The Dirty Little Secrets of Getting Your Dream Job,19,33.339999999999996
e72a5dfc7e9267b2,Default,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",19,17.93
e10e1e165dc8be4a,Default,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,19,22.6
1dfe412b8ac00530,Poetry,The Black Maria,19,52.15
0312262ecafa5a40,Default,"Starving Hearts (Triangular Trade Trilogy, #1)",19,13.99
30a7f60cd76ca58c,Poetry,Shakespeare's Sonnets,19,20.66
ce6396b0f23f6ecc,Young Adult,Set Me Free,19,17.459999999999997
3b1c02bac2a429e6,Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),19,52.290000000000006
a34ba96d4081e6a4,Music,Rip it Up and Start Again,19,35.02
deda3e61b9514b83,Music,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",19,57.25
feb7cc7701ecf901,Poetry,Olio,19,23.88
e30f54cea9b38190,Science Fiction,Mesaerion: The Best Science Fiction Stories 1800-1849,19,37.59
a18a4f574854aced,Politics,Libertarianism for Beginners,19,51.33
a22124811bfa8350,Travel,It's Only the Himalayas,19,45.17
23356462d1320d61,Thriller,In Her Wake,19,12.84
327f68a59745c102,Music,How Music Works,19,37.32
5674a18a29a43ced,Food and Drink,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",19,30.52
c2e46a2ee3b4a322,Romance,Chase Me (Paris Nights #2),19,25.27
00bfed9e18bb36f3,Romance,Black Dust,19,34.53
9528d0948525bf5f,Childrens,Birdsong: A Story in Pictures,19,54.64
c7d160c2c0de586f,Default,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,19,22.5
904208d6aa64b655,Default,Aladdin and His Wonderful Lamp,19,53.13
4c28def39d850cdf,Nonfiction,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,18,40.3
ccd9ffa25efabdea,Art,Wall and Piece,18,44.18
6258a1f6a6dcfe50,Spirituality,The Four Agreements: A Practical Guide to Personal Freedom,18,17.66
3c039985229453bf,Nonfiction,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,18,31.05
5dada2b7be26bd03,Thriller,The Elephant Tree,18,23.82
9f6568e9c95f60b0,Childrens,The Bear and the Piano,18,36.89
6be3beb0793a53e7,Philosophy,Sophie's World,18,15.94
668fe56b17cfcd4f,Default,Penny Maybe,18,33.290000000000006
094b269567e1c300,Default,Maude (1883-1993):She Grew Up with the country,18,18.02
19ed25f4641d5efd,Mystery,"In a Dark, Dark Wood",18,19.630000000000003
be5cc846f45496fb,Thriller,Behind Closed Doors,18,52.220000000000006
55f9da0c5eea2e10,Poetry,You can't bury them all: Poems,17,33.63
b4fd5943413e089a,Poetry,Slow States of Collapse: Poems,17,57.309999999999995
c8f7f0cb1abb9cac,Nonfiction,Reasons to Stay Alive,17,26.41
b12b89017878a60d,Fiction,Private Paris (Private #10),17,47.61
c27f6e1f185b0383,Nonfiction,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,17,23.110000000000003
acddfeab2a407640,New Adult,Without Borders (Wanderlove #1),16,45.07
3ecb690d1542c568,Contemporary,When We Collided,16,31.77
8d455c7539795d2a,Fiction,"We Love You, Charlie Freeman",16,50.27
657fe5ead67a7767,Poetry,Untitled Collection: Sabbath Poems 2014,16,14.27
d170b5a0da46380e,Nonfiction,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",16,44.18
7ae099f3898e0209,Fantasy,Unicorn Tracks,16,18.779999999999998
9a9d6e9bc555731e,History,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",16,25.52
09555be379ad9253,Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16,16.279999999999998
7858914fad68493c,Nonfiction,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,16,31.12
51653ef291ab7ddc,Sequential Art,This One Summer,16,19.49
709822d0b5bcb7f4,Fiction,Thirst,16,17.27
4eed62cf5f8d8edf,Add a comment,The Torch Is Passed: A Harding Family Story,16,19.09
b5ea0b5dabed25a8,Childrens,The Secret of Dreadwillow Carse,16,56.13
142d767a56a9254d,Food and Drink,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",16,56.41
5ee94540d0749ea0,Mystery,The Past Never Ends,16,56.5
cedf82b5086e4691,Young Adult,The Natural History of Us (The Fine Art of Pretending #2),16,45.220000000000006
7d385d34d12e60ff,Sequential Art,The Nameless City (The Nameless City #1),16,38.160000000000004
d01ac97e2b8947c2,Fiction,The Murder That Never Was (Forensic Instincts #5),16,54.11
aadee1c326d286e3,Science,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,16,42.96
31075275518532d7,Add a comment,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",16,23.89
